#x  FES  der_FES_x
-0.297297297297 4.45891053094 4.09379720526
-0.291291291291 4.48292271783 3.88944172974
-0.285285285285 4.50563055172 3.6592110657
-0.279279279279 4.52687720511 3.40274993853
-0.273273273273 4.54650442486 3.1199587
-0.267267267267 4.56435418649 2.81103162714
-0.261261261261 4.58027057053 2.47649138595
-0.255255255255 4.59410183077 2.11721723943
-0.249249249249 4.60570260944 1.73446450296
-0.243243243243 4.61493623921 1.32987287693
-0.237237237237 4.62167705841 0.905461650268
-0.231231231231 4.62581265543 0.463610379567
-0.225225225225 4.62724595186 0.00702448529063
-0.219219219219 4.62589703363 -0.461313788079
-0.213213213213 4.6217046451 -0.938207518262
-0.207207207207 4.61462727365 -1.42031778193
-0.201201201201 4.60464377084 -1.90424339978
-0.195195195195 4.59175347906 -2.38660367231
-0.189189189189 4.57597585886 -2.86411976518
-0.183183183183 4.55734963804 -3.33369052645
-0.177177177177 4.53593152821 -3.792459012
-0.171171171171 4.51179457483 -4.23786679406
-0.165165165165 4.48502622138 -4.66769412923
-0.159159159159 4.45572617688 -5.08008514515
-0.153153153153 4.42400417759 -5.47355824974
-0.147147147147 4.38997772944 -5.84700287292
-0.141141141141 4.35376990885 -6.19966434748
-0.135135135135 4.31550728682 -6.53111918925
-0.129129129129 4.27531802669 -6.84124324654
-0.123123123123 4.23333019077 -7.13017518064
-0.117117117117 4.18967027677 -7.39827755931
-0.111111111111 4.14446199186 -7.64609754397
-0.105105105105 4.09782526123 -7.87432878294
-0.0990990990991 4.04987545993 -8.0837757322
-0.0930930930931 4.00072285003 -8.27532124745
-0.0870870870871 3.9504722017 -8.44989795325
-0.0810810810811 3.89922257432 -8.60846360897
-0.0750750750751 3.84706723343 -8.75198046504
-0.0690690690691 3.79409367984 -8.88139843436
-0.0630630630631 3.74038376875 -8.99764178789
-0.0570570570571 3.68601389861 -9.10159901344
-0.0510510510511 3.63105525207 -9.19411544196
-0.045045045045 3.57557407348 -9.27598824003
-0.039039039039 3.51963196991 -9.34796338067
-0.033033033033 3.46328622506 -9.41073423208
-0.027027027027 3.40659011727 -9.4649414387
-0.021021021021 3.34959323481 -9.5111738084
-0.015015015015 3.29234178324 -9.54996995878
-0.00900900900901 3.23487888095 -9.5818205142
-0.003003003003 3.17724484012 -9.60717068063
0.003003003003 3.11947743133 -9.62642305741
0.00900900900901 3.06161213073 -9.63994057338
0.015015015015 3.00368234937 -9.64804945922
0.021021021021 2.94571964473 -9.65104218824
0.027027027027 2.88775391468 -9.64918033558
0.033033033033 2.82981357463 -9.64269731946
0.039039039039 2.77192571865 -9.6318009999
0.045045045045 2.71411626532 -9.61667611948
0.0510510510511 2.65641008958 -9.59748657772
0.0570570570571 2.59883114127 -9.57437753638
